"SAID","sample_address","zipcode","soil_remediation_status","soil_remediation_date","soil_sample_date","high_lead_result"
14754,"3101 S 2 ST",68108,"Eligible",NA,2004-07-19,841.79
36795,"5117 N 14 ST-E",68110,"Ineligible",NA,2005-12-19,106.71
80048,"5120 RAVEN OAKS DR",68152,NA,NA,NA,NA
55629,"2535 N 16 ST",68110,NA,NA,NA,NA
16309,"2509 S 37 ST",68105,"Ineligible",NA,2004-08-23,79.3
48015,"5131 S 39 AV",68107,"Remediated",2008-10-10,2003-12-10,615
18303,"3302 FRANCES ST",68105,"Ineligible",NA,2003-11-05,117.53
65198,"6311 READ ST",68152,NA,NA,NA,NA
26379,"2908 FRANKLIN ST",68111,"Ineligible",NA,2003-08-05,297.4
16417,"1715 ARBOR ST",68108,"Remediated",2014-08-20,2014-06-10,425
44364,"2620 DREXEL ST",68107,"Ineligible",NA,2008-12-02,108
31102,"2852 BRISTOL ST",68111,"Ineligible",NA,2005-08-29,281.33
44951,"3236 MADISON ST",68107,"Ineligible",NA,2004-01-12,144.9
45399,"3405 WASHINGTON ST",68107,"Ineligible",NA,2004-01-22,121.4
73232,"6312 N 54 CR",68104,NA,NA,NA,NA
61611,"6640 SEWARD ST",68104,NA,NA,NA,NA
16774,"2530 S 9 ST",68108,"Remediated",2011-10-19,2004-07-19,543.86
55465,"6119 S 48 ST",68117,NA,NA,NA,NA
27577,"2125 N 28 ST",68111,NA,NA,NA,NA
84671,"2920 N 56 ST",68104,NA,NA,NA,NA
63841,"1819 N 50 ST",68104,NA,NA,NA,NA
66976,"2214 S 50 AV",68106,NA,NA,NA,NA
78308,"6123 WILLIAM ST",68106,NA,NA,NA,NA
73451,"6068 PATTERSON ST",68117,NA,NA,NA,NA
73444,"4523 S 60 AV",68117,NA,NA,NA,NA
13796,"2314 DEER PARK BD",68108,"Ineligible",NA,2014-06-13,393
28371,"2915 LAKE ST",68111,"Ineligible",NA,2006-06-05,232.77
22681,"3516 HOWARD ST",68105,"Remediated",2005-11-01,2004-08-24,1099.7
72078,"5547 MARCY ST",68106,NA,NA,NA,NA
42732,"8103 N 29 ST",68112,NA,NA,NA,NA
73284,"2520 S 60 ST",68106,NA,NA,NA,NA
11591,"4220 S 20 ST",68107,"Remediated",2009-08-12,2003-08-05,485.71
84228,"5412 GRAND AV",68104,NA,NA,NA,NA
51306,"301 S 52 ST",68132,"Remediated",2014-09-29,2008-06-18,448
91663,NA,NA,NA,NA,NA,NA
18750,"3320 CENTER ST",68105,"Remediated",2008-12-02,2004-07-12,550.15
19580,"3514 PINE ST",68105,"Remediated",2009-10-20,2003-09-11,548.92
81827,"4602 HAMILTON ST",68132,"Ineligible",NA,2008-11-10,157
93073,"2422 HICKORY ST",68105,"Ineligible",NA,2007-12-19,248
81595,"5104 EVANS ST",68104,NA,NA,NA,NA
49285,"1116 S 9 ST",68108,"Remediated",2011-10-19,2011-08-12,619
51762,"5023 WEBSTER ST",68132,"Remediated",2006-07-20,2004-11-22,1906.8
41685,"2748 IOWA ST",68112,NA,NA,NA,NA
72506,"5634 S 50 ST",68117,NA,NA,NA,NA
41745,"3954 SCOTT ST",68112,"Ineligible",NA,2003-12-12,45.71
50621,"2311 S 15 ST",68108,"Remediated",2014-07-25,2006-04-13,407.3
21672,"910 S 38 AV",68105,"Ineligible",NA,2003-10-14,327.02
69187,"4813 NORTHWEST RADIAL HW",68104,"Remediated",2009-09-02,2009-05-20,820
89573,NA,NA,NA,NA,NA,NA
64305,"4501 FORT ST",68104,NA,NA,NA,NA
38659,"3925 KANSAS AV",68111,NA,NA,NA,NA
12824,"1703 ONTARIO ST",68108,"Ineligible",NA,2003-09-11,79.4
23845,"432 N 34 ST",68131,"Remediated",2009-09-30,2006-05-25,739.13
77764,"3210 LAKE ST",68111,NA,NA,NA,NA
82935,"4922 PRATT ST",68104,NA,NA,NA,NA
10948,"4330 S 32 ST",68107,"Remediated",2010-06-15,2003-08-12,570.14
21068,"4231 MASON ST",68105,"Remediated",2011-06-07,2005-08-29,750.54
64467,"5223 NORTHWEST RADIAL HW",68104,NA,NA,NA,NA
75867,"5426 SEWARD ST",68104,"Ineligible",NA,2009-05-12,140
76197,"1702 N 63 ST",68104,NA,NA,NA,NA
15768,"2830 S 3 ST",68108,"Ineligible",NA,2004-08-04,100.09
84990,"4630 S 20 ST",68107,NA,NA,NA,NA
60629,"3516 N 69 ST",68104,NA,NA,NA,NA
29550,"2005 MAPLE ST",68110,"Remediated",2011-07-28,2004-07-18,580.6
85747,"6621 A ST",68106,NA,NA,NA,NA
39428,"6326 N 33 ST",68111,NA,NA,NA,NA
26436,"4421 DECATUR ST",68111,"Ineligible",NA,2003-09-17,186.5
40436,"2889 TITUS AV",68112,NA,NA,NA,NA
16511,"3823 GORDON ST",68105,"Ineligible",NA,2004-08-10,260.66
43837,"3810 POLK ST",68107,"Ineligible",NA,2008-09-22,163
49670,"4728 WAKELEY ST",68132,"Remediated",2013-05-06,2006-08-27,486.02
85909,"2905 S 60 ST",68106,"Ineligible",NA,2010-08-26,114
90535,NA,NA,NA,NA,NA,962
1325,"4523 N 40 ST",68111,"Ineligible",NA,1999-08-20,209.4
15545,"3864 WRIGHT ST",68105,"Ineligible",NA,2003-11-02,268.46
57041,"4519 S 24 ST",68107,NA,NA,NA,208
16700,"3916 GORDON ST",68105,"Ineligible",NA,2003-11-09,101.86
46747,"5808 S 21 ST",68107,"Ineligible",NA,2007-12-14,299
48051,"5121 S 39 AV",68107,"Ineligible",NA,2005-09-13,109.09
59395,"2908 N 67 AV",68104,NA,NA,NA,NA
37125,"5352 N 27 AV",68111,"Remediated",2011-06-15,2004-10-25,554.44
72119,"1004 S 55 ST",68106,NA,NA,NA,NA
910,"3030 SPAULDING ST",68111,NA,NA,NA,NA
43469,"3706 NORTH POST RD",68112,"Ineligible",NA,2004-01-28,33.84
94791,"5122 1/2 S 23 ST",68107,NA,NA,NA,NA
79751,"5711 TUCKER CR",68152,NA,NA,NA,NA
39823,"2721 BAUMAN AV",68112,"Ineligible",NA,2003-12-18,318.8
13757,"4023 VINTON ST",68105,"Ineligible",NA,2003-10-23,71.8
83709,"4512 WOOLWORTH AV",68106,NA,NA,NA,NA
57677,"2145 S 47 ST",68106,NA,NA,NA,NA
60937,"2503 N 71 ST",68104,NA,NA,NA,NA
58407,"7069 SEWARD ST",68104,NA,NA,NA,NA
88419,NA,NA,NA,NA,NA,NA
31824,"4471 PRATT ST",68111,"Ineligible",NA,2003-07-28,181.34
79124,"3318 S 52 ST",68106,NA,NA,NA,NA
69073,"3532 N 59 ST",68104,NA,NA,NA,NA
76002,"6340 PARKER ST",68104,NA,NA,NA,NA
18920,"4307 WALNUT ST",68105,"Ineligible",NA,2008-07-29,296
67724,"317 S HAPPY HOLLOW BD",68132,NA,NA,NA,NA
37937,"2424 HARTMAN AV",68111,"Ineligible",NA,2009-08-11,395
82388,"3821 CUMING ST",68131,NA,NA,NA,NA
49513,"4814 HARNEY ST",68132,"Remediated",2012-09-25,2004-11-30,673.36
20523,"3116 POPPLETON AV",68105,"Remediated",2006-04-04,2004-09-03,2633.3
66727,"5200 WEBSTER ST",68132,"Ineligible",NA,2008-11-04,279
70861,"703 N 56 ST",68132,"Ineligible",NA,2009-07-10,101
17511,"2412 S 11 ST",68108,"Remediated",2005-04-26,2004-09-17,1299.8
86460,"1610 S 61 AV",68106,NA,NA,NA,NA
58138,"5708 CAMDEN AV",68104,"Ineligible",NA,2012-07-19,30
64048,"4516 YOUNG ST",68152,NA,NA,NA,NA
34837,"4517 N 14 ST",68110,"Ineligible",NA,2004-10-28,290.53
46180,"2625 Y ST",68107,"Remediated",2010-09-03,2004-12-21,508.22
81389,"819 DORCAS ST",68108,"Ineligible",NA,2012-03-27,213
14104,"3103 S 32 AV",68105,"Remediated",2010-11-15,2003-10-22,720.29
88285,NA,NA,NA,NA,NA,NA
49294,"345 RIVERFRONT DR CAFE",68102,NA,NA,NA,NA
38047,"2511 HIMEBAUGH AV",68111,"Ineligible",NA,2004-10-29,379.51
87804,"4848 LOCKWOOD CR",68152,NA,NA,NA,NA
30189,"1505 BINNEY ST",68110,"Ineligible",NA,2007-10-04,247
19904,"414 PINE ST",68108,"Ineligible",NA,2003-10-03,167.54
73669,"4512 1/2 S 63 ST",68117,NA,NA,NA,NA
79169,"4867 PACIFIC ST",68106,NA,NA,NA,NA
35290,"2428 TEMPLETON ST",68111,"Remediated",2012-06-24,2005-10-19,519
79,"1206 ATLAS ST",68107,"Ineligible",NA,1999-11-05,332.6
67550,"1515 S 60 ST",68106,NA,NA,NA,NA
66031,"4602 N 55 ST",68104,NA,NA,NA,NA
1022,"3506 N 28 ST",68111,"Ineligible",NA,1999-10-27,199.5
45649,"2531 WASHINGTON ST",68107,"Ineligible",NA,2004-12-02,270.61
18328,"1211 DORCAS ST",68108,"Remediated",2010-06-18,2008-07-15,605
31939,"3507 N 16 ST",68110,"Remediated",2005-10-09,2005-01-07,1706.4
65380,"7240 N 71 AV",68152,NA,NA,NA,NA
67380,"801 S 68 ST",68106,NA,NA,NA,NA
24082,"4168 CALIFORNIA ST",68131,"Ineligible",NA,2003-07-28,166.6
31513,"3402 N 24 ST",68110,"Remediated",2005-05-13,2003-08-22,627.6
40645,"2576 TITUS AV",68112,"Remediated",2004-04-07,2003-12-18,2720
75094,"1613 N 11 ST",68110,NA,NA,NA,NA
65227,"6331 VANE ST",68152,NA,NA,NA,NA
22565,"626 S 19 ST",68102,"Ineligible",NA,2004-08-04,226.76
52105,"5107 WESTERN AV",68132,"Eligible",NA,2005-01-11,663.03
23137,"141 N 41 ST",68131,"Remediated",2005-11-03,2004-07-15,2109.1
19191,"1720 S 17 ST",68108,"Remediated",2009-09-30,2005-09-01,547.91
83198,"5720 V ST",68117,NA,NA,NA,NA
72416,"5458 S 49 AV",68117,NA,NA,NA,NA
32362,"3709 N 30 ST",68111,"Remediated",2007-10-23,2005-10-04,997.12
73477,"4503 S 61 ST",68117,NA,NA,NA,NA
49860,"4853 CUMING ST",68132,"Ineligible",NA,2008-06-13,290
46002,"6104 S 25 ST",68107,"Ineligible",NA,2014-03-20,197
14078,"3127 S 38 AV",68105,"Ineligible",NA,2004-08-12,123.36
21724,"1003 TURNER BD",68105,"Remediated",2008-11-13,2008-07-30,1149
15816,"1715 VINTON ST",68108,NA,NA,NA,NA
19542,"1457 S 19 ST",68108,NA,NA,NA,NA
59432,"6774 WIRT ST",68104,NA,NA,NA,NA
61893,"4801 1/2 LAUREL AV",68104,NA,NA,NA,NA
60735,"4912 N 50 ST",68104,NA,NA,NA,NA
81702,"5012 EMMET ST",68104,NA,NA,NA,206
62663,"4217 N 64 ST",68104,NA,NA,NA,NA
39143,"6220 N 31 AV",68111,"Ineligible",NA,2004-01-30,260.99
49617,"4740 CAPITOL AV",68132,"Ineligible",NA,2008-11-21,260
83888,"6721 S 46 AV",68117,NA,NA,NA,NA
28178,"2426 N 33 AV",68111,"Ineligible",NA,2014-05-20,118
26095,"3521 FRANKLIN ST",68111,"Remediated",2010-10-12,2009-07-10,556
42176,"3917 KING ST",68112,NA,NA,NA,NA
82828,"4940 RUGGLES ST",68104,NA,NA,NA,NA
31793,"3541 N 40 AV",68111,"Ineligible",NA,2003-10-14,114.03
17999,"2126 S 33 ST",68105,"Remediated",2009-10-07,2003-10-31,435.2
14374,"3136 S 1 ST",68108,"Remediated",2010-11-15,2009-05-28,418
11864,"4133 S 23 ST",68107,"Remediated",2014-08-05,2014-02-04,2035
10130,"3209 K ST",68107,"Remediated",2013-06-17,2005-09-26,618.61
22075,"4208 MARCY ST",68105,"Remediated",2006-06-02,2003-10-15,1105.9
88650,NA,NA,NA,NA,NA,NA
75995,"6506 PARKER ST",68104,NA,NA,NA,NA
46633,"5838 S 13 ST",68107,"Ineligible",NA,2004-11-22,224.67
38635,"5974 N 33 ST",68111,"Ineligible",NA,2003-12-15,203.06
25960,"3532 SEWARD ST",68111,"Remediated",2005-11-19,2004-08-11,1235.3
60451,"4516 N 63 ST",68104,NA,NA,NA,NA
33587,"2561 SPRAGUE ST",68111,"Ineligible",NA,2004-08-30,334.68
62949,"2215 HARNEY ST",68102,NA,NA,NA,NA
61792,"4318 N 56 ST",68104,NA,NA,NA,NA
32794,"3912 N 41 ST",68111,"Ineligible",NA,2003-09-09,274.6
70057,"2335 N 61 ST",68104,NA,NA,NA,NA
84145,"8828 N 48 ST",68152,NA,NA,NA,NA
23331,"141 N 35 ST",68131,"Remediated",2004-07-08,2003-07-25,1516.9
70743,"5301 WESTERN AV",68132,"Ineligible",NA,2008-11-19,109
39024,"3928 NEBRASKA AV",68111,NA,NA,NA,NA
49399,"4126 HARRISON ST",68147,"Ineligible",NA,2009-05-26,75
41408,"7202 N 40 ST",68112,NA,NA,NA,NA
19908,"1427 S 14 ST",68108,"Remediated",2005-06-27,2005-01-12,2169.3
65587,"5133 FRANKLIN ST",68104,"Ineligible",NA,2008-10-10,78
77841,"5905 N 69 ST",68104,NA,NA,NA,NA
59257,"6632 PINKNEY ST",68104,NA,NA,NA,NA
86278,"4506 N ST",68117,NA,NA,NA,NA
81446,"4538 FRANKLIN ST",68104,"Remediated",2010-06-02,2008-11-14,606
39859,"4017 NEWPORT AV",68112,NA,NA,NA,NA
19158,"1730 S 9 ST",68108,"Remediated",2008-11-06,2008-09-15,2062
88629,"6221 S 13 ST",NA,NA,NA,NA,NA
10023,"4604 S 42 ST",68107,"Ineligible",NA,2008-08-27,248
19,"1017 ARBOR ST",68108,"Ineligible",NA,1999-07-24,161.7
23867,"505 N 41 AV",68131,"Remediated",2007-09-07,2004-08-18,801.2
83628,"4540 WILLIAM ST",68106,NA,NA,NA,NA
41880,"3329 WEBER ST",68112,NA,NA,NA,NA
28632,"2865 OHIO ST",68111,"Remediated",2012-04-30,2006-06-05,441.81
60811,"6905 MAPLE ST",68104,NA,NA,NA,NA
90885,NA,NA,NA,NA,NA,NA
77478,"6220 KANSAS AV",68104,NA,NA,NA,NA
71613,"4667 NEBRASKA AV",68104,NA,NA,NA,NA
69075,"3524 N 59 ST",68104,NA,NA,NA,NA
26259,"1529 FLORENCE BD",68110,"Remediated",2010-09-22,2007-09-11,503
18098,"2223 S 20 ST",68108,"Remediated",2009-11-13,2005-08-09,742.29
29449,"4208 MAPLE ST",68111,"Ineligible",NA,2004-12-20,294.14
49303,"625 RIVERFRONT DR",68102,NA,NA,NA,NA
38961,"3617 NEBRASKA AV",68111,"Ineligible",NA,2009-09-29,396
31092,"2003 EDWARD R DANNER PA",68110,"Ineligible",NA,2013-08-07,64
61117,"2323 N 67 ST",68104,NA,NA,NA,NA
63621,"2523 N 48 ST",68104,"Ineligible",NA,2008-11-17,301
32641,"3716 N 18 ST",68110,"Ineligible",NA,2003-08-07,392.59
68445,"7257 MINNE LUSA BD",68112,NA,NA,NA,NA
67858,"6615 DAVENPORT ST",68132,NA,NA,NA,NA
5180,"4605 S 35 ST",68107,"Remediated",2014-09-04,2001-09-02,405.2
14389,"2012 VINTON ST",NA,"Ineligible",NA,2003-09-09,326.53
13547,"4112 VALLEY ST",68105,"Ineligible",NA,2006-01-18,59.42
55389,"2920 L ST",68107,NA,NA,NA,NA
86174,"4855 J ST",68117,NA,NA,NA,NA
13722,"3625 VINTON ST",68105,"Ineligible",NA,2008-01-14,342
20152,"1321 S 31 ST",68105,"Remediated",2011-04-21,2005-05-25,581.57
15294,"2919 ELM ST",68105,"Eligible",NA,2017-05-11,444
16702,"2530 S 7 ST",68108,"Remediated",2014-07-24,2004-10-06,500.99
18988,"1731 S 16 ST",68108,"Ineligible",NA,2005-07-11,370.94
77982,"6908 HARTMAN AV",68104,NA,NA,NA,NA
28402,"4201 OHIO ST",68111,"Ineligible",NA,2006-12-01,82.35
11071,"4413 S 12 ST",68107,"Ineligible",NA,2004-09-01,157.29
43989,"4316 DREXEL ST",68107,"Ineligible",NA,2003-10-24,99.64
85595,"6011 OHERN ST",68117,NA,NA,NA,NA
1414,"5222 S 19 ST",68107,"Ineligible",NA,1999-08-06,167.2
73265,"2514 LEAVENWORTH ST",68105,NA,NA,NA,NA
