"address","parcel","sample_date","excavation_date","remediation_status","address_omaha"
"1619 ELM ST","0939960000",2008-04-29,"2010-07-09","remediated","1619 ELM ST Omaha, NE"
"1618 OAK ST","0940000000",2005-12-19,"not remediated","not remediated","1618 OAK ST Omaha, NE"
"1602 OAK ST","0940060000",2003-10-06,"2011-10-15","remediated","1602 OAK ST Omaha, NE"
"1609 OAK ST","0940090000",2003-10-06,"2013-05-23","remediated","1609 OAK ST Omaha, NE"
"1615 OAK ST","0940120000",2004-08-25,"2005-10-08","remediated","1615 OAK ST Omaha, NE"
"1619 OAK ST","0940140000",2005-12-14,"2007-10-11","remediated","1619 OAK ST Omaha, NE"
"1618 FREDERICK ST","0940180000",2004-08-25,"not remediated","not remediated","1618 FREDERICK ST Omaha, NE"
"3016 S 16 ST","0940200000",2007-10-25,"2014-10-09","remediated","3016 S 16 ST Omaha, NE"
"1404 BANCROFT ST","0940250002",1999-04-11,"2000-12-31","remediated","1404 BANCROFT ST Omaha, NE"
"2621 S 15 ST","0940270000",2012-05-10,"not remediated","not remediated","2621 S 15 ST Omaha, NE"
"2623 S 15 ST","0940290000",2011-05-19,"2011-10-14","remediated","2623 S 15 ST Omaha, NE"
"2709 S 15 ST","0940330000",2005-10-17,"2012-04-04","remediated","2709 S 15 ST Omaha, NE"
"1407 BANCROFT ST","0940370000",2003-08-06,"not remediated","not remediated","1407 BANCROFT ST Omaha, NE"
"1418 ELM ST","0940430000",2004-06-08,"not remediated","not remediated","1418 ELM ST Omaha, NE"
"2713 S 15 ST","0940440000",2014-04-01,"not remediated","not remediated","2713 S 15 ST Omaha, NE"
"1411 ELM ST","0940510000",2004-06-08,"not remediated","not remediated","1411 ELM ST Omaha, NE"
"2410 HIMEBAUGH AV","0940570000",2004-01-26,"not remediated","not remediated","2410 HIMEBAUGH AV Omaha, NE"
"2416 HIMEBAUGH AV","0940580000",2004-01-27,"2011-07-13","remediated","2416 HIMEBAUGH AV Omaha, NE"
"2432 HIMEBAUGH AV","0940610000",2008-06-11,"not remediated","not remediated","2432 HIMEBAUGH AV Omaha, NE"
"2452 HIMEBAUGH AV","0940640000",2008-06-12,"not remediated","not remediated","2452 HIMEBAUGH AV Omaha, NE"
"5814 N 25 AV","0940680000",2008-01-24,"not remediated","not remediated","5814 N 25 AV Omaha, NE"
"2564 HIMEBAUGH AV","0940720000",2007-10-10,"not remediated","not remediated","2564 HIMEBAUGH AV Omaha, NE"
"2580 HIMEBAUGH AV","0940760000",1999-12-18,"not remediated","not remediated","2580 HIMEBAUGH AV Omaha, NE"
"5801 N 27 ST","0940790000",2004-11-12,"2011-10-31","remediated","5801 N 27 ST Omaha, NE"
"5805 N 27 ST","0940800000",2006-08-23,"not remediated","not remediated","5805 N 27 ST Omaha, NE"
"5820 1/2 N 25 AV","0940880000",2015-02-25,"not remediated","not remediated","5820 1/2 N 25 AV Omaha, NE"
"3319 SPRAGUE ST","0940970000",2003-09-26,"not remediated","not remediated","3319 SPRAGUE ST Omaha, NE"
"3327 SPRAGUE ST","0940980001",1999-03-28,"not remediated","not remediated","3327 SPRAGUE ST Omaha, NE"
"4017 N 34 AV","0941030000",2006-05-04,"not remediated","not remediated","4017 N 34 AV Omaha, NE"
"3324 RUGGLES ST","0941100000",2004-08-05,"2010-08-24","remediated","3324 RUGGLES ST Omaha, NE"
"3320 RUGGLES ST","0941110000",2003-09-11,"2021-07-08","remediated","3320 RUGGLES ST Omaha, NE"
"3483 SPRAGUE ST","0941260000",2003-10-13,"not remediated","not remediated","3483 SPRAGUE ST Omaha, NE"
"3488 RUGGLES ST","0941290000",2004-10-06,"not remediated","not remediated","3488 RUGGLES ST Omaha, NE"
"3478 RUGGLES ST","0941330000",2003-09-15,"not remediated","not remediated","3478 RUGGLES ST Omaha, NE"
"3462 RUGGLES ST","0941390000",2008-05-29,"not remediated","not remediated","3462 RUGGLES ST Omaha, NE"
"4004 N 34 AV","0941410000",2005-05-27,"not remediated","not remediated","4004 N 34 AV Omaha, NE"
"4016 N 34 AV","0941440000",2005-06-15,"not remediated","not remediated","4016 N 34 AV Omaha, NE"
"3481 RUGGLES ST","0941560000",2005-06-03,"not remediated","not remediated","3481 RUGGLES ST Omaha, NE"
"3476 SPAULDING ST","0941620000",2004-08-31,"2010-10-26","remediated","3476 SPAULDING ST Omaha, NE"
"3452 SPAULDING ST","0941720000",2003-11-03,"not remediated","not remediated","3452 SPAULDING ST Omaha, NE"
"3309 RUGGLES ST","0941780000",2007-10-15,"not remediated","not remediated","3309 RUGGLES ST Omaha, NE"
"3337 RUGGLES ST","0941850000",2004-08-30,"not remediated","not remediated","3337 RUGGLES ST Omaha, NE"
"3339 RUGGLES ST","0941870000",1999-03-29,"not remediated","not remediated","3339 RUGGLES ST Omaha, NE"
"3324 SPAULDING ST","0941940000",2006-10-19,"2010-08-26","remediated","3324 SPAULDING ST Omaha, NE"
"3914 N 33 ST","0942010000",2003-07-30,"not remediated","not remediated","3914 N 33 ST Omaha, NE"
"3321 SPAULDING ST","0942510000",2004-10-19,"not remediated","not remediated","3321 SPAULDING ST Omaha, NE"
"3306 MANDERSON ST","0943950150",2015-12-07,"not remediated","not remediated","3306 MANDERSON ST Omaha, NE"
"3461 SPAULDING ST","0942750000",2004-09-09,"not remediated","not remediated","3461 SPAULDING ST Omaha, NE"
"3801 N 36 ST","0942850000",2003-11-18,"not remediated","not remediated","3801 N 36 ST Omaha, NE"
"3420 MANDERSON ST","0942900000",2004-08-26,"not remediated","not remediated","3420 MANDERSON ST Omaha, NE"
"3425 MANDERSON ST","0943040000",2003-12-19,"not remediated","not remediated","3425 MANDERSON ST Omaha, NE"
"3485 MANDERSON ST","0943070000",2003-08-12,"not remediated","not remediated","3485 MANDERSON ST Omaha, NE"
"3480 PRATT ST","0943140000",2003-07-21,"2005-09-27","remediated","3480 PRATT ST Omaha, NE"
"3456 PRATT ST","0943180000",2009-08-13,"not remediated","not remediated","3456 PRATT ST Omaha, NE"
"3708 N 34 AV","0943210000",2005-09-28,"not remediated","not remediated","3708 N 34 AV Omaha, NE"
"3170 PRATT ST","0943570000",2005-12-07,"not remediated","not remediated","3170 PRATT ST Omaha, NE"
"3166 PRATT ST","0943580000",2003-07-22,"not remediated","not remediated","3166 PRATT ST Omaha, NE"
"3917 N 33 ST","0943650000",2003-07-30,"2005-12-31","remediated","3917 N 33 ST Omaha, NE"
"4005 N 33 ST","0943810000",2015-02-23,"not remediated","not remediated","4005 N 33 ST Omaha, NE"
"4001 N 33 ST","0943820000",2017-11-28,"not remediated","not remediated","4001 N 33 ST Omaha, NE"
"3167 SPRAGUE ST","0943900000",2007-11-16,"not remediated","not remediated","3167 SPRAGUE ST Omaha, NE"
"4146 N 40 ST","0944185000",2003-11-10,"not remediated","not remediated","4146 N 40 ST Omaha, NE"
"4138 N 40 ST","0943990000",2003-11-17,"not remediated","not remediated","4138 N 40 ST Omaha, NE"
"4132 N 40 ST","0944000000",2003-12-10,"not remediated","not remediated","4132 N 40 ST Omaha, NE"
"4004 PAXTON BD","0944030000",2002-07-11,"2002-12-04","remediated","4004 PAXTON BD Omaha, NE"
"4101 N 40 AV","0944080000",2006-11-21,"not remediated","not remediated","4101 N 40 AV Omaha, NE"
"4014 PAXTON BD","0944100000",2004-08-31,"not remediated","not remediated","4014 PAXTON BD Omaha, NE"
"4129 N 40 AV","0944130000",2003-09-30,"2005-06-17","remediated","4129 N 40 AV Omaha, NE"
"4139 N 40 AV","0944150000",2004-09-02,"not remediated","not remediated","4139 N 40 AV Omaha, NE"
"4143 N 40 AV","0944180000",2003-11-10,"not remediated","not remediated","4143 N 40 AV Omaha, NE"
"5215 WEBSTER ST","0944330000",2008-11-21,"not remediated","not remediated","5215 WEBSTER ST Omaha, NE"
"5202 UNDERWOOD AV","0944450000",2009-01-07,"2010-07-24","remediated","5202 UNDERWOOD AV Omaha, NE"
